type, size, time, gflop
float, 2000, 0.016599, 963.914069
float, 2000, 0.017298, 924.970765
float, 2000, 0.016866, 948.676371
float, 2000, 0.016887, 947.481626
float, 2000, 0.016894, 947.074572
float, 2000, 0.016804, 952.140934
float, 2000, 0.016599, 963.925858
float, 2000, 0.016806, 952.014087
float, 3000, 0.042685, 1265.082596
float, 3000, 0.041784, 1292.345588
float, 3000, 0.042398, 1273.641078
float, 3000, 0.041974, 1286.500858
float, 3000, 0.042422, 1272.937299
float, 3000, 0.041692, 1295.222670
float, 3000, 0.041948, 1287.302234
float, 3000, 0.041902, 1288.715582
float, 4000, 0.090283, 1417.765916
float, 4000, 0.089783, 1425.656423
float, 4000, 0.089678, 1427.329381
float, 4000, 0.089907, 1423.688685
float, 4000, 0.089950, 1423.009099
float, 4000, 0.089982, 1422.499246
float, 4000, 0.090197, 1419.114047
float, 4000, 0.089951, 1423.004131
float, 5000, 0.173268, 1442.848547
float, 5000, 0.173346, 1442.200071
float, 5000, 0.173653, 1439.650137
float, 5000, 0.173105, 1444.208818
float, 5000, 0.173077, 1444.441057
float, 5000, 0.173584, 1440.228706
float, 5000, 0.173394, 1441.800816
float, 5000, 0.173816, 1438.299991
float, 6000, 0.285490, 1513.188091
float, 6000, 0.286673, 1506.944718
float, 6000, 0.286034, 1510.311294
float, 6000, 0.285732, 1511.908521
float, 6000, 0.286417, 1508.290639
float, 6000, 0.285525, 1513.003223
float, 6000, 0.285971, 1510.645038
float, 6000, 0.285183, 1514.818470
float, 7000, 0.441910, 1552.351565
float, 7000, 0.442682, 1549.643633
float, 7000, 0.442621, 1549.858441
float, 7000, 0.441986, 1552.084370
float, 7000, 0.441277, 1554.580657
float, 7000, 0.442349, 1550.810795
float, 7000, 0.441516, 1553.739080
float, 7000, 0.442807, 1549.206958
float, 8000, 0.649655, 1576.222317
float, 8000, 0.650448, 1574.300303
float, 8000, 0.650432, 1574.338823
float, 8000, 0.648469, 1579.103776
float, 8000, 0.649403, 1576.831994
float, 8000, 0.649988, 1575.412609
float, 8000, 0.649149, 1577.448741
float, 8000, 0.648789, 1578.324823
float, 9000, 0.922490, 1580.504134
float, 9000, 0.922453, 1580.567904
float, 9000, 0.922924, 1579.760885
float, 9000, 0.923576, 1578.646113
float, 9000, 0.923530, 1578.725822
float, 9000, 0.922616, 1580.288820
float, 9000, 0.922377, 1580.698345
float, 9000, 0.922597, 1580.320956
float, 10000, 1.290055, 1550.320963
float, 10000, 1.292612, 1547.254352
float, 10000, 1.293651, 1546.012242
float, 10000, 1.290809, 1549.415435
float, 10000, 1.289170, 1551.386092
float, 10000, 1.296185, 1542.989780
float, 10000, 1.288847, 1551.774025
float, 10000, 1.292609, 1547.257812
float, 11000, 1.689780, 1575.353394
float, 11000, 1.687398, 1577.576625
float, 11000, 1.692768, 1572.572586
float, 11000, 1.688807, 1576.260253
float, 11000, 1.692799, 1572.543924
float, 11000, 1.691466, 1573.783198
float, 11000, 1.691500, 1573.750908
float, 11000, 1.689922, 1575.220927
float, 12000, 2.237604, 1544.508957
float, 12000, 2.214492, 1560.629152
float, 12000, 2.212010, 1562.380164
float, 12000, 2.242369, 1541.226879
float, 12000, 2.201385, 1569.920824
float, 12000, 2.206833, 1566.045386
float, 12000, 2.201378, 1569.925891
float, 12000, 2.208890, 1564.586611
float, 13000, 2.787766, 1576.172350
float, 13000, 2.792876, 1573.288811
float, 13000, 2.787934, 1576.077466
float, 13000, 2.787428, 1576.363620
float, 13000, 2.782377, 1579.225002
float, 13000, 2.804725, 1566.642156
float, 13000, 2.784884, 1577.803869
float, 13000, 2.784483, 1578.030651
float, 14000, 3.440838, 1594.960495
float, 14000, 3.439257, 1595.693349
float, 14000, 3.442164, 1594.345952
float, 14000, 3.441511, 1594.648543
float, 14000, 3.443597, 1593.682627
float, 14000, 3.438077, 1596.241309
float, 14000, 3.439728, 1595.475097
float, 14000, 3.437121, 1596.684909
float, 15000, 4.303143, 1568.620795
float, 15000, 4.320126, 1562.454602
float, 15000, 4.319546, 1562.664052
float, 15000, 4.327974, 1559.621291
float, 15000, 4.313906, 1564.707099
float, 15000, 4.307250, 1567.125080
float, 15000, 4.298265, 1570.401133
float, 15000, 4.312720, 1565.137495
float, 16000, 5.148332, 1591.194848
float, 16000, 5.198210, 1575.927198
float, 16000, 5.147314, 1591.509677
float, 16000, 5.145057, 1592.207971
float, 16000, 5.205308, 1573.778076
float, 16000, 5.146747, 1591.684885
float, 16000, 5.147099, 1591.576011
float, 16000, 5.148209, 1591.233092
float, 17000, 6.177891, 1590.510525
float, 17000, 6.201782, 1584.383374
float, 17000, 6.200351, 1584.748920
float, 17000, 6.223719, 1578.798827
float, 17000, 6.198428, 1585.240561
float, 17000, 6.191018, 1587.138018
float, 17000, 6.215003, 1581.012961
float, 17000, 6.191341, 1587.055248
float, 18000, 7.345671, 1587.873984
float, 18000, 7.360924, 1584.583616
float, 18000, 7.418850, 1572.211347
float, 18000, 7.374635, 1581.637620
float, 18000, 7.369765, 1582.682737
float, 18000, 7.360290, 1584.720128
float, 18000, 7.376900, 1581.151881
float, 18000, 7.369059, 1582.834389
float, 19000, 8.688297, 1578.905471
float, 19000, 8.717313, 1573.649994
float, 19000, 8.682733, 1579.917280
float, 19000, 8.685191, 1579.470069
float, 19000, 8.697531, 1577.229300
float, 19000, 8.707955, 1575.341144
float, 19000, 8.705332, 1575.815824
float, 19000, 8.702488, 1576.330813
float, 20000, 10.175775, 1572.361792
float, 20000, 10.155856, 1575.445755
float, 20000, 10.180355, 1571.654440
float, 20000, 10.173303, 1572.743800
float, 20000, 10.190551, 1570.081914
float, 20000, 10.173095, 1572.776074
float, 20000, 10.240541, 1562.417380
float, 20000, 10.167514, 1573.639407
