type, size, time, gflop
float, 2000, 0.015716, 1018.074643
float, 2000, 0.015431, 1036.842917
float, 2000, 0.016844, 949.893757
float, 2000, 0.015846, 1009.689613
float, 2000, 0.015320, 1044.417646
float, 2000, 0.015430, 1036.934505
float, 2000, 0.015847, 1009.628448
float, 2000, 0.016164, 989.834217
float, 3000, 0.042197, 1279.709887
float, 3000, 0.041239, 1309.448984
float, 3000, 0.041433, 1303.299677
float, 3000, 0.041891, 1289.051856
float, 3000, 0.041564, 1299.192698
float, 3000, 0.041660, 1296.205433
float, 3000, 0.042368, 1274.537322
float, 3000, 0.041625, 1297.287542
float, 4000, 0.089842, 1424.731126
float, 4000, 0.089365, 1432.322387
float, 4000, 0.088607, 1444.582497
float, 4000, 0.090369, 1416.411959
float, 4000, 0.088268, 1450.136874
float, 4000, 0.088802, 1441.404595
float, 4000, 0.088479, 1446.667495
float, 4000, 0.088577, 1445.071484
float, 5000, 0.169131, 1478.144440
float, 5000, 0.170189, 1468.956950
float, 5000, 0.168422, 1484.368642
float, 5000, 0.173379, 1441.927808
float, 5000, 0.167068, 1496.395047
float, 5000, 0.169536, 1474.611026
float, 5000, 0.168649, 1482.372258
float, 5000, 0.168872, 1480.407728
float, 6000, 0.287407, 1503.095782
float, 6000, 0.287447, 1502.884348
float, 6000, 0.287339, 1503.451941
float, 6000, 0.287285, 1503.730819
float, 6000, 0.287603, 1502.069993
float, 6000, 0.287701, 1501.560565
float, 6000, 0.288255, 1498.674012
float, 6000, 0.287789, 1501.101997
float, 7000, 0.441135, 1555.079895
float, 7000, 0.441095, 1555.221479
float, 7000, 0.441269, 1554.605670
float, 7000, 0.447898, 1531.597054
float, 7000, 0.441064, 1555.331087
float, 7000, 0.440982, 1555.620098
float, 7000, 0.442739, 1549.444921
float, 7000, 0.442055, 1551.841847
float, 8000, 0.647629, 1581.153241
float, 8000, 0.652412, 1569.560621
float, 8000, 0.645697, 1585.881995
float, 8000, 0.648303, 1579.508191
float, 8000, 0.648450, 1579.149921
float, 8000, 0.646021, 1585.088699
float, 8000, 0.647122, 1582.390242
float, 8000, 0.645393, 1586.630988
float, 9000, 0.911503, 1599.555110
float, 9000, 0.912416, 1597.954685
float, 9000, 0.910947, 1600.531937
float, 9000, 0.914542, 1594.240834
float, 9000, 0.910595, 1601.150238
float, 9000, 0.913154, 1596.664505
float, 9000, 0.918422, 1587.506039
float, 9000, 0.911231, 1600.032675
float, 10000, 1.303497, 1534.333712
float, 10000, 1.302010, 1536.086348
float, 10000, 1.297760, 1541.117255
float, 10000, 1.295224, 1544.134183
float, 10000, 1.302669, 1535.309702
float, 10000, 1.298488, 1540.252614
float, 10000, 1.304904, 1532.679216
float, 10000, 1.300394, 1537.995691
float, 11000, 1.711172, 1555.658685
float, 11000, 1.713209, 1553.809118
float, 11000, 1.715839, 1551.427504
float, 11000, 1.711255, 1555.583523
float, 11000, 1.712998, 1554.000562
float, 11000, 1.711441, 1555.414643
float, 11000, 1.714893, 1552.283216
float, 11000, 1.713144, 1553.868309
float, 12000, 2.192466, 1576.306905
float, 12000, 2.182498, 1583.506534
float, 12000, 2.232107, 1548.312844
float, 12000, 2.229894, 1549.849293
float, 12000, 2.177896, 1586.852991
float, 12000, 2.234820, 1546.433239
float, 12000, 2.191049, 1577.326492
float, 12000, 2.175407, 1588.667963
float, 13000, 2.764044, 1589.699867
float, 13000, 2.761949, 1590.905670
float, 13000, 2.759695, 1592.204877
float, 13000, 2.763686, 1589.905902
float, 13000, 2.759634, 1592.239890
float, 13000, 2.761267, 1591.298327
float, 13000, 2.758940, 1592.640820
float, 13000, 2.770953, 1585.736281
float, 14000, 3.494243, 1570.583473
float, 14000, 3.580481, 1532.754848
float, 14000, 3.496958, 1569.363800
float, 14000, 3.493914, 1570.731218
float, 14000, 3.500272, 1567.878044
float, 14000, 3.415768, 1606.666458
float, 14000, 3.487939, 1573.421812
float, 14000, 3.493964, 1570.708799
float, 15000, 4.228205, 1596.422207
float, 15000, 4.212812, 1602.255083
float, 15000, 4.228002, 1596.498602
float, 15000, 4.224225, 1597.926362
float, 15000, 4.217142, 1600.610200
float, 15000, 4.227438, 1596.711951
float, 15000, 4.217128, 1600.615471
float, 15000, 4.220703, 1599.259731
float, 16000, 5.112904, 1602.220465
float, 16000, 5.307538, 1543.465284
float, 16000, 5.310617, 1542.570244
float, 16000, 5.114806, 1601.624903
float, 16000, 5.109851, 1603.177933
float, 16000, 5.108959, 1603.457700
float, 16000, 5.118089, 1600.597456
float, 16000, 5.119579, 1600.131727
float, 17000, 6.273830, 1566.188528
float, 17000, 6.301188, 1559.388529
