type, size, time, gflop
float, 2000, 0.470179, 34.029558
float, 3000, 10.899937, 4.954157
float, 4000, 18.694229, 6.847033
float, 5000, 28.965390, 8.630990
float, 6000, 37.601866, 11.488791
float, 7000, 100.912037, 6.798000
float, 8000, 124.791048, 8.205717
float, 9000, 158.962716, 9.171962
float, 10000, 19.527980, 102.417145
float, 11000, 20.292847, 131.179230
float, 12000, 26.091940, 132.454697
float, 13000, 70.781491, 62.078376
float, 14000, 41.968220, 130.765613
float, 15000, 53.095384, 127.129697
float, 16000, 60.964877, 134.372453
float, 17000, 73.078590, 134.457986
float, 18000, 86.474340, 134.883943
float, 19000, 149.347036, 91.853179
float, 20000, 122.567337, 130.540488
