type, size, time, gflop
float, 2000, 0.555047, 28.826411
float, 3000, 0.839181, 64.348470
float, 4000, 1.550329, 82.563147
float, 5000, 2.505955, 99.762365
float, 6000, 3.891739, 111.004363
float, 7000, 6.113302, 112.214310
float, 8000, 8.454422, 121.120052
float, 9000, 11.894404, 122.578653
float, 10000, 16.248602, 123.087509
float, 11000, 20.814140, 127.893824
float, 12000, 27.054300, 127.743095
float, 13000, 33.427974, 131.446794
float, 14000, 41.849723, 131.135873
float, 15000, 51.308157, 131.558028
float, 16000, 61.775284, 132.609670
float, 17000, 74.780323, 131.398202
float, 18000, 88.639701, 131.588891
float, 19000, 105.138321, 130.475738
float, 20000, 124.600469, 128.410432
