type, size, time, gflop
float, 2000, 0.013385, 1195.393491
float, 2000, 0.014808, 1080.532200
float, 2000, 0.013407, 1193.417823
float, 2000, 0.013418, 1192.435102
float, 2000, 0.014646, 1092.414960
float, 2000, 0.013514, 1183.967015
float, 2000, 0.014864, 1076.458347
float, 2000, 0.015180, 1054.031985
float, 3000, 0.037607, 1435.916445
float, 3000, 0.037962, 1422.464577
float, 3000, 0.037703, 1432.229145
float, 3000, 0.038012, 1420.600208
float, 3000, 0.037778, 1429.419551
float, 3000, 0.037588, 1436.640674
float, 3000, 0.038956, 1386.165153
float, 3000, 0.037771, 1429.653502
float, 4000, 0.083935, 1524.980509
float, 4000, 0.083342, 1535.834044
float, 4000, 0.082892, 1544.173924
float, 4000, 0.082630, 1549.064850
float, 4000, 0.083166, 1539.086959
float, 4000, 0.083030, 1541.611577
float, 4000, 0.082905, 1543.943037
float, 4000, 0.082732, 1547.170734
float, 5000, 0.164158, 1522.919837
float, 5000, 0.165132, 1513.935861
float, 5000, 0.164565, 1519.155050
float, 5000, 0.165266, 1512.710047
float, 5000, 0.164924, 1515.848079
float, 5000, 0.166059, 1505.493192
float, 5000, 0.166925, 1497.676777
float, 5000, 0.165762, 1508.182014
float, 6000, 0.276301, 1563.512913
float, 6000, 0.276958, 1559.803235
float, 6000, 0.277156, 1558.686197
float, 6000, 0.277013, 1559.495664
float, 6000, 0.280557, 1539.791874
float, 6000, 0.280760, 1538.680417
float, 6000, 0.276686, 1561.334562
float, 6000, 0.277009, 1559.514664
float, 7000, 0.430014, 1595.297884
float, 7000, 0.429869, 1595.833941
float, 7000, 0.431436, 1590.038397
float, 7000, 0.431690, 1589.101617
float, 7000, 0.430406, 1593.845026
float, 7000, 0.429786, 1596.144979
float, 7000, 0.431324, 1590.450708
float, 7000, 0.433178, 1583.643751
float, 8000, 0.632298, 1619.488861
float, 8000, 0.629283, 1627.250044
float, 8000, 0.633978, 1615.198353
float, 8000, 0.633836, 1615.560549
float, 8000, 0.633621, 1616.108845
float, 8000, 0.630699, 1623.594257
float, 8000, 0.635192, 1612.110928
float, 8000, 0.631449, 1621.666018
float, 9000, 0.890257, 1637.728568
float, 9000, 0.890604, 1637.091946
float, 9000, 0.889663, 1638.823212
float, 9000, 0.888979, 1640.082849
float, 9000, 0.891164, 1636.062379
float, 9000, 0.890810, 1636.712388
float, 9000, 0.899913, 1620.156066
float, 9000, 0.889731, 1638.696968
float, 10000, 1.263969, 1582.316916
float, 10000, 1.265666, 1580.195467
float, 10000, 1.266730, 1578.868395
float, 10000, 1.275962, 1567.444618
float, 10000, 1.267314, 1578.140385
float, 10000, 1.269213, 1575.780198
float, 10000, 1.265923, 1579.875052
float, 10000, 1.266157, 1579.583479
float, 11000, 1.662644, 1601.064216
float, 11000, 1.659386, 1604.207389
float, 11000, 1.655582, 1607.894001
float, 11000, 1.654931, 1608.526616
float, 11000, 1.657297, 1606.229675
float, 11000, 1.656784, 1606.726827
float, 11000, 1.661366, 1602.295847
float, 11000, 1.658310, 1605.248313
float, 12000, 2.126097, 1625.514005
float, 12000, 2.124472, 1626.757207
float, 12000, 2.124401, 1626.811809
float, 12000, 2.122851, 1627.999205
float, 12000, 2.120335, 1629.931448
float, 12000, 2.123915, 1627.183947
float, 12000, 2.142820, 1612.827597
float, 12000, 2.137997, 1616.466093
float, 13000, 2.686887, 1635.350024
float, 13000, 2.685556, 1636.160456
float, 13000, 2.691172, 1632.746167
float, 13000, 2.688500, 1634.368499
float, 13000, 2.686811, 1635.395908
float, 13000, 2.713677, 1619.205049
float, 13000, 2.697964, 1628.635726
float, 13000, 2.712173, 1620.103323
float, 14000, 3.399363, 1614.420199
float, 14000, 3.376542, 1625.331600
float, 14000, 3.373435, 1626.828567
float, 14000, 3.376058, 1625.564558
float, 14000, 3.396952, 1615.566090
float, 14000, 3.395144, 1616.426415
float, 14000, 3.402341, 1613.007270
float, 14000, 3.379416, 1623.949355
float, 15000, 4.147215, 1627.598361
float, 15000, 4.143728, 1628.968069
float, 15000, 4.144112, 1628.817111
float, 15000, 4.167077, 1619.840318
float, 15000, 4.141864, 1629.701120
float, 15000, 4.143069, 1629.226890
float, 15000, 4.142111, 1629.603792
float, 15000, 4.142968, 1629.266767
float, 16000, 5.015835, 1633.227471
float, 16000, 5.006156, 1636.385305
float, 16000, 5.017010, 1632.845138
float, 16000, 5.015583, 1633.309661
float, 16000, 5.008525, 1635.611283
float, 16000, 5.009678, 1635.234810
float, 16000, 5.019581, 1632.008748
float, 16000, 5.022141, 1631.176682
float, 17000, 6.070382, 1618.678961
float, 17000, 6.054809, 1622.842355
float, 17000, 6.045972, 1625.214324
float, 17000, 6.044323, 1625.657555
float, 17000, 6.046772, 1624.999211
float, 17000, 6.043672, 1625.832697
float, 17000, 6.052342, 1623.503797
float, 17000, 6.108528, 1608.570847
float, 18000, 7.175697, 1625.486643
float, 18000, 7.227918, 1613.742788
float, 18000, 7.196676, 1620.748145
float, 18000, 7.199046, 1620.214633
float, 18000, 7.192495, 1621.690341
float, 18000, 7.182853, 1623.867266
float, 18000, 7.178851, 1624.772637
float, 18000, 7.177628, 1625.049421
float, 19000, 8.385491, 1635.920813
float, 19000, 8.394281, 1634.207859
float, 19000, 8.391332, 1634.782243
float, 19000, 8.379032, 1637.182012
float, 19000, 8.387745, 1635.481239
float, 19000, 8.447871, 1623.841138
float, 19000, 8.392631, 1634.529137
float, 19000, 8.389116, 1635.214096
float, 20000, 9.866759, 1621.606378
float, 20000, 9.871815, 1620.775934
float, 20000, 9.861805, 1622.420974
float, 20000, 9.863766, 1622.098481
float, 20000, 9.864290, 1622.012253
float, 20000, 9.864415, 1621.991805
float, 20000, 9.864639, 1621.954867
float, 20000, 9.865197, 1621.863169
